amount,date,month,day,primary_category,rolling_spend_7d,prev_transaction_amt,day_of_week_Friday,day_of_week_Monday,day_of_week_Saturday,day_of_week_Sunday,day_of_week_Thursday,day_of_week_Tuesday,day_of_week_Wednesday,local_time_bucket_Night,local_time_bucket_Morning,local_time_bucket_Afternoon,local_time_bucket_Evening,local_time_bucket_Late Night,is_weekend_False,is_weekend_True
418.51,2023-09-30,9,30,Shops,321.36285714285714,229.49,False,False,True,False,False,False,False,False,False,False,False,True,False,True
79.33,2023-10-18,10,18,Tech,272.1271428571428,418.51,False,False,False,False,False,False,True,False,False,False,True,False,True,False
148.92,2023-10-20,10,20,Health,226.99285714285716,79.33,True,False,False,False,False,False,False,True,False,False,False,False,True,False
69.3,2023-10-25,10,25,Shops,206.79285714285714,148.92,False,False,False,False,False,False,True,True,False,False,False,False,True,False
346.54,2023-11-13,11,13,Shops,225.32857142857145,69.3,False,True,False,False,False,False,False,False,False,False,True,False,True,False
166.62,2023-11-14,11,14,Shops,208.38714285714286,346.54,False,False,False,False,False,True,False,True,False,False,False,False,True,False
98.16,2023-11-23,11,23,Shops,189.6257142857143,166.62,False,False,False,False,True,False,False,False,False,False,True,False,True,False
6.93,2023-11-25,11,25,Travel,130.82857142857145,98.16,False,False,True,False,False,False,False,False,True,False,False,False,False,True
82.69,2023-12-14,12,14,Food and Drink,131.3085714285714,6.93,False,False,False,False,True,False,False,True,False,False,False,False,True,False
12.2,2024-01-01,1,1,Food and Drink,111.77714285714286,82.69,False,True,False,False,False,False,False,False,False,True,False,False,True,False
154.46,2024-01-05,1,5,Food and Drink,123.94285714285716,12.2,True,False,False,False,False,False,False,True,False,False,False,False,True,False
125.76,2024-01-27,1,27,Shops,92.40285714285714,154.46,False,False,True,False,False,False,False,False,False,True,False,False,False,True
341.36,2024-01-31,1,31,Health,117.36571428571428,125.76,False,False,False,False,False,False,True,False,False,True,False,False,True,False
161.36,2024-02-09,2,9,Travel,126.39428571428572,341.36,True,False,False,False,False,False,False,False,True,False,False,False,True,False
161.56,2024-02-11,2,11,Health,148.4842857142857,161.36,False,False,False,True,False,False,False,False,False,False,True,False,False,True
91.78,2024-02-19,2,19,Shops,149.78285714285715,161.56,False,True,False,False,False,False,False,True,False,False,False,False,True,False
175.89,2024-02-20,2,20,Travel,173.16714285714286,91.78,False,False,False,False,False,True,False,False,False,False,True,False,True,False
306.43,2024-02-28,2,28,Shops,194.87714285714284,175.89,False,False,False,False,False,False,True,False,False,True,False,False,True,False
370.99,2024-02-29,2,29,Tech,229.91,306.43,False,False,False,False,True,False,False,True,False,False,False,False,True,False
83.3,2024-03-07,3,7,Tech,193.04428571428573,370.99,False,False,False,False,True,False,False,False,True,False,False,False,True,False
29.66,2024-03-12,3,12,Travel,174.23,83.3,False,False,False,False,False,True,False,False,True,False,False,False,True,False
303.5,2024-03-23,3,23,Shops,194.50714285714284,29.66,False,False,True,False,False,False,False,False,False,True,False,False,False,True
398.08,2024-03-30,3,30,Shops,238.2642857142857,303.5,False,False,True,False,False,False,False,True,False,False,False,False,False,True
143.85,2024-04-07,4,7,Shops,233.68714285714285,398.08,False,False,False,True,False,False,False,False,False,True,False,False,False,True
250.56,2024-04-10,4,10,Shops,225.7057142857143,143.85,False,False,False,False,False,False,True,False,False,True,False,False,True,False
99.54,2024-04-12,4,12,Tech,186.92714285714283,250.56,True,False,False,False,False,False,False,True,False,False,False,False,True,False
175.17,2024-04-15,4,15,Travel,200.05142857142854,99.54,False,True,False,False,False,False,False,False,False,True,False,False,True,False
32.1,2024-04-20,4,20,Food and Drink,200.4,175.17,False,False,True,False,False,False,False,False,True,False,False,False,False,True
375.99,2024-04-21,4,21,Travel,210.75571428571428,32.1,False,False,False,True,False,False,False,True,False,False,False,False,False,True
323.11,2024-05-01,5,1,Food and Drink,200.0457142857143,375.99,False,False,False,False,False,False,True,True,False,False,False,False,True,False
137.59,2024-05-03,5,3,Travel,199.15142857142857,323.11,True,False,False,False,False,False,False,True,False,False,False,False,True,False
323.93,2024-05-03,5,3,Food and Drink,209.63285714285715,137.59,True,False,False,False,False,False,False,False,False,False,True,False,True,False
94.9,2024-05-13,5,13,Travel,208.97000000000003,323.93,False,True,False,False,False,False,False,False,True,False,False,False,True,False
323.72,2024-05-15,5,15,Food and Drink,230.1914285714286,94.9,False,False,False,False,False,False,True,True,False,False,False,False,True,False
60.83,2024-05-15,5,15,Shops,234.2957142857143,323.72,False,False,False,False,False,False,True,False,False,False,True,False,True,False
94.39,2024-05-19,5,19,Food and Drink,194.06714285714284,60.83,False,False,False,True,False,False,False,False,False,True,False,False,False,True
202.36,2024-05-26,5,26,Tech,176.81714285714287,94.39,False,False,False,True,False,False,False,False,True,False,False,False,False,True
127.64,2024-05-27,5,27,Tech,175.3957142857143,202.36,False,True,False,False,False,False,False,True,False,False,False,False,True,False
25.1,2023-01-02,1,2,Food and Drink,25.1,0.0,False,True,False,False,False,False,False,False,True,False,False,False,True,False
67.73,2023-01-18,1,18,Shops,46.415000000000006,25.1,False,False,False,False,False,False,True,True,False,False,False,False,True,False
250.19,2023-01-19,1,19,Food and Drink,114.33999999999999,67.73,False,False,False,False,True,False,False,False,False,True,False,False,True,False
63.66,2023-02-20,2,20,Shops,101.67,250.19,False,True,False,False,False,False,False,False,False,True,False,False,True,False
165.8,2023-03-21,3,21,Shops,114.49600000000001,63.66,False,False,False,False,False,True,False,False,False,True,False,False,True,False
448.63,2023-03-21,3,21,Shops,170.185,165.8,False,False,False,False,False,True,False,False,True,False,False,False,True,False
50.63,2023-04-04,4,4,Food and Drink,153.1057142857143,448.63,False,False,False,False,False,True,False,False,False,True,False,False,True,False
454.23,2023-05-01,5,1,Travel,214.41000000000003,50.63,False,True,False,False,False,False,False,False,False,False,False,True,True,False
428.69,2023-05-03,5,3,Shops,265.97571428571433,454.23,False,False,False,False,False,False,True,False,True,False,False,False,True,False
138.92,2023-05-12,5,12,Food and Drink,250.07999999999998,428.69,True,False,False,False,False,False,False,False,False,False,True,False,True,False
18.87,2023-05-19,5,19,Shops,243.68142857142857,138.92,True,False,False,False,False,False,False,False,False,True,False,False,True,False
430.81,2023-05-22,5,22,Shops,281.54,18.87,False,True,False,False,False,False,False,False,True,False,False,False,True,False
181.09,2023-05-23,5,23,Shops,243.32,430.81,False,False,False,False,False,True,False,False,False,True,False,False,True,False
428.63,2023-06-12,6,12,Food and Drink,297.32,181.09,False,True,False,False,False,False,False,False,False,True,False,False,True,False
447.67,2023-06-14,6,14,Food and Drink,296.3828571428571,428.63,False,False,False,False,False,False,True,False,False,False,True,False,True,False
125.61,2023-06-16,6,16,Health,253.08571428571426,447.67,True,False,False,False,False,False,False,False,False,False,False,True,True,False
490.61,2023-06-19,6,19,Tech,303.32714285714286,125.61,False,True,False,False,False,False,False,False,True,False,False,False,True,False
92.39,2023-06-24,6,24,Food and Drink,313.83000000000004,490.61,False,False,True,False,False,False,False,False,True,False,False,False,False,True
319.6,2023-06-27,6,27,Shops,297.9428571428571,92.39,False,False,False,False,False,True,False,False,False,True,False,False,True,False
50.89,2023-07-13,7,13,Tech,279.34285714285716,319.6,False,False,False,False,True,False,False,False,True,False,False,False,True,False
29.93,2023-07-23,7,23,Shops,222.3857142857143,50.89,False,False,False,True,False,False,False,True,False,False,False,False,False,True
127.41,2023-08-10,8,10,Health,176.6342857142857,29.93,False,False,False,False,True,False,False,True,False,False,False,False,True,False
63.64,2023-08-19,8,19,Shops,167.78142857142856,127.41,False,False,True,False,False,False,False,False,True,False,False,False,False,True
449.43,2023-09-06,9,6,Travel,161.89857142857142,63.64,False,False,False,False,False,False,True,False,False,False,False,True,True,False
350.36,2023-10-02,10,2,Shops,198.7514285714286,449.43,False,True,False,False,False,False,False,True,False,False,False,False,True,False
148.61,2023-10-12,10,12,Shops,174.3242857142857,350.36,False,False,False,False,True,False,False,False,True,False,False,False,True,False
350.85,2023-10-23,10,23,Food and Drink,217.1757142857143,148.61,False,True,False,False,False,False,False,False,True,False,False,False,True,False
492.36,2023-10-27,10,27,Shops,283.2371428571429,350.85,True,False,False,False,False,False,False,False,False,False,False,True,True,False
261.63,2023-10-28,10,28,Tech,302.4114285714286,492.36,False,False,True,False,False,False,False,False,True,False,False,False,False,True
453.91,2023-11-03,11,3,Shops,358.1642857142857,261.63,True,False,False,False,False,False,False,False,False,False,True,False,True,False
215.73,2023-11-30,11,30,Shops,324.77857142857147,453.91,False,False,False,False,True,False,False,False,False,True,False,False,True,False
279.45,2023-12-06,12,6,Shops,314.6485714285714,215.73,False,False,False,False,False,False,True,False,True,False,False,False,True,False
261.17,2023-12-13,12,13,Shops,330.7285714285714,279.45,False,False,False,False,False,False,True,True,False,False,False,False,True,False
321.67,2023-12-14,12,14,Travel,326.56,261.17,False,False,False,False,True,False,False,True,False,False,False,False,True,False
290.72,2024-01-16,1,16,Health,297.75428571428574,321.67,False,False,False,False,False,True,False,True,False,False,False,False,True,False
202.81,2024-01-22,1,22,Food and Drink,289.3514285714286,290.72,False,True,False,False,False,False,False,True,False,False,False,False,True,False
349.89,2024-02-10,2,10,Shops,274.49142857142857,202.81,False,False,True,False,False,False,False,False,True,False,False,False,False,True
92.18,2024-02-15,2,15,Food and Drink,256.8414285714286,349.89,False,False,False,False,True,False,False,True,False,False,False,False,True,False
326.28,2024-03-04,3,4,Tech,263.5314285714286,92.18,False,True,False,False,False,False,False,False,True,False,False,False,True,False
139.31,2024-03-26,3,26,Food and Drink,246.12285714285713,326.28,False,False,False,False,False,True,False,True,False,False,False,False,True,False
201.21,2024-03-28,3,28,Shops,228.91428571428574,139.31,False,False,False,False,True,False,False,False,True,False,False,False,True,False
457.62,2024-04-06,4,6,Tech,252.7571428571428,201.21,False,False,True,False,False,False,False,False,True,False,False,False,False,True
82.18,2024-04-07,4,7,Food and Drink,235.5242857142857,457.62,False,False,False,True,False,False,False,False,True,False,False,False,False,True
56.37,2024-04-15,4,15,Shops,193.59285714285716,82.18,False,True,False,False,False,False,False,True,False,False,False,False,True,False
58.22,2024-04-18,4,18,Shops,188.74142857142857,56.37,False,False,False,False,True,False,False,True,False,False,False,False,True,False
69.26,2024-04-28,4,28,Travel,152.02428571428572,58.22,False,False,False,True,False,False,False,False,False,True,False,False,False,True
318.38,2024-05-04,5,4,Tech,177.6057142857143,69.26,False,False,True,False,False,False,False,False,False,False,False,True,False,True
216.6,2024-05-10,5,10,Food and Drink,179.8042857142857,318.38,True,False,False,False,False,False,False,False,False,False,False,True,True,False
44.17,2024-05-12,5,12,Travel,120.74,216.6,False,False,False,True,False,False,False,False,False,False,False,True,False,True
61.48,2024-05-17,5,17,Shops,117.78285714285714,44.17,True,False,False,False,False,False,False,True,False,False,False,False,True,False
102.91,2023-01-20,1,20,Shops,102.91,0.0,True,False,False,False,False,False,False,True,False,False,False,False,True,False
74.3,2023-01-23,1,23,Travel,88.60499999999999,102.91,False,True,False,False,False,False,False,False,True,False,False,False,True,False
190.38,2023-01-25,1,25,Shops,122.52999999999999,74.3,False,False,False,False,False,False,True,False,True,False,False,False,True,False
298.75,2023-02-14,2,14,Food and Drink,166.58499999999998,190.38,False,False,False,False,False,True,False,False,False,False,True,False,True,False
182.48,2023-03-04,3,4,Shops,169.76399999999998,298.75,False,False,True,False,False,False,False,True,False,False,False,False,False,True
350.89,2023-03-10,3,10,Travel,199.95166666666668,182.48,True,False,False,False,False,False,False,True,False,False,False,False,True,False
448.23,2023-03-19,3,19,Shops,235.42000000000002,350.89,False,False,False,True,False,False,False,True,False,False,False,False,False,True
315.27,2023-04-15,4,15,Shops,265.7571428571428,448.23,False,False,True,False,False,False,False,True,False,False,False,False,False,True
284.58,2023-04-18,4,18,Travel,295.79714285714283,315.27,False,False,False,False,False,True,False,False,False,True,False,False,True,False
475.29,2023-04-18,4,18,Tech,336.4985714285714,284.58,False,False,False,False,False,True,False,False,False,True,False,False,True,False
212.52,2023-05-04,5,4,Food and Drink,324.18,475.29,False,False,False,False,True,False,False,True,False,False,False,False,True,False
471.97,2023-05-11,5,11,Travel,365.5357142857143,212.52,False,False,False,False,True,False,False,True,False,False,False,False,True,False
181.95,2023-05-14,5,14,Tech,341.40142857142854,471.97,False,False,False,True,False,False,False,True,False,False,False,False,False,True
421.59,2023-05-14,5,14,Travel,337.5957142857143,181.95,False,False,False,True,False,False,False,False,False,False,False,True,False,True
234.29,2023-07-22,7,22,Travel,326.02714285714285,421.59,False,False,True,False,False,False,False,False,False,True,False,False,False,True
331.67,2023-08-09,8,9,Shops,332.7542857142857,234.29,False,False,False,False,False,False,True,True,False,False,False,False,True,False
139.22,2023-08-24,8,24,Tech,284.7442857142857,331.67,False,False,False,False,True,False,False,False,True,False,False,False,True,False
461.13,2023-09-13,9,13,Travel,320.26000000000005,139.22,False,False,False,False,False,False,True,False,False,True,False,False,True,False
356.27,2023-09-16,9,16,Travel,303.7314285714286,461.13,False,False,True,False,False,False,False,False,False,True,False,False,False,True
327.34,2023-09-27,9,27,Travel,324.50142857142856,356.27,False,False,False,False,False,False,True,False,True,False,False,False,True,False
387.46,2023-09-28,9,28,Tech,319.6257142857143,327.34,False,False,False,False,True,False,False,False,True,False,False,False,True,False
227.87,2023-09-29,9,29,Shops,318.7085714285714,387.46,True,False,False,False,False,False,False,False,False,False,True,False,True,False
108.63,2023-10-06,10,6,Travel,286.8457142857143,227.87,True,False,False,False,False,False,False,True,False,False,False,False,True,False
193.49,2023-10-12,10,12,Travel,294.59857142857146,108.63,False,False,False,False,True,False,False,False,False,True,False,False,True,False
369.84,2023-10-28,10,28,Travel,281.5571428571428,193.49,False,False,True,False,False,False,False,False,False,False,True,False,False,True
250.17,2023-11-07,11,7,Food and Drink,266.4,369.84,False,False,False,False,False,True,False,True,False,False,False,False,True,False
247.28,2023-11-10,11,10,Food and Drink,254.9628571428571,250.17,True,False,False,False,False,False,False,True,False,False,False,False,True,False
142.0,2023-11-14,11,14,Travel,219.89714285714282,247.28,False,False,False,False,False,True,False,False,False,False,False,True,True,False
300.83,2023-12-11,12,11,Travel,230.32,142.0,False,True,False,False,False,False,False,True,False,False,False,False,True,False
314.01,2023-12-20,12,20,Shops,259.66,300.83,False,False,False,False,False,False,True,False,True,False,False,False,True,False
26.24,2023-12-21,12,21,Shops,235.7671428571429,314.01,False,False,False,False,True,False,False,False,False,True,False,False,True,False
361.91,2023-12-31,12,31,Travel,234.6342857142857,26.24,False,False,False,True,False,False,False,False,True,False,False,False,False,True
83.39,2024-01-01,1,1,Tech,210.80857142857144,361.91,False,True,False,False,False,False,False,True,False,False,False,False,True,False
300.21,2024-01-21,1,21,Travel,218.37000000000003,83.39,False,False,False,True,False,False,False,False,True,False,False,False,False,True
478.15,2024-02-04,2,4,Tech,266.39142857142855,300.21,False,False,False,True,False,False,False,True,False,False,False,False,False,True
404.78,2024-02-13,2,13,Travel,281.24142857142857,478.15,False,False,False,False,False,True,False,False,False,False,True,False,True,False
78.13,2024-02-29,2,29,Shops,247.5442857142857,404.78,False,False,False,False,True,False,False,False,False,False,True,False,True,False
369.58,2024-03-21,3,21,Food and Drink,296.5928571428571,78.13,False,False,False,False,True,False,False,True,False,False,False,False,True,False
268.9,2024-03-24,3,24,Food and Drink,283.30571428571426,369.58,False,False,False,True,False,False,False,False,True,False,False,False,False,True
460.41,2024-04-03,4,3,Shops,337.1657142857143,268.9,False,False,False,False,False,False,True,False,True,False,False,False,True,False
96.5,2024-04-23,4,23,Shops,308.0642857142857,460.41,False,False,False,False,False,True,False,False,False,False,True,False,True,False
113.87,2024-05-03,5,3,Food and Drink,256.0242857142857,96.5,True,False,False,False,False,False,False,True,False,False,False,False,True,False
6.57,2024-05-12,5,12,Tech,199.13714285714286,113.87,False,False,False,True,False,False,False,False,True,False,False,False,False,True
338.75,2024-05-13,5,13,Shops,236.3685714285714,6.57,False,True,False,False,False,False,False,False,True,False,False,False,True,False
427.73,2024-05-29,5,29,Shops,244.6757142857143,338.75,False,False,False,False,False,False,True,False,False,False,True,False,True,False
494.35,2023-01-07,1,7,Shops,494.35,0.0,False,False,True,False,False,False,False,False,True,False,False,False,False,True
358.51,2023-01-10,1,10,Shops,426.43,494.35,False,False,False,False,False,True,False,False,False,False,False,True,True,False
278.49,2023-01-11,1,11,Travel,377.1166666666666,358.51,False,False,False,False,False,False,True,True,False,False,False,False,True,False
432.59,2023-01-29,1,29,Food and Drink,390.985,278.49,False,False,False,True,False,False,False,True,False,False,False,False,False,True
448.19,2023-01-31,1,31,Travel,402.42600000000004,432.59,False,False,False,False,False,True,False,True,False,False,False,False,True,False
232.66,2023-02-01,2,1,Food and Drink,374.13166666666666,448.19,False,False,False,False,False,False,True,False,False,False,True,False,True,False
206.28,2023-02-06,2,6,Shops,350.15285714285716,232.66,False,True,False,False,False,False,False,False,True,False,False,False,True,False
304.52,2023-02-10,2,10,Travel,323.0342857142858,206.28,True,False,False,False,False,False,False,False,True,False,False,False,True,False
428.93,2023-02-19,2,19,Health,333.0942857142857,304.52,False,False,False,True,False,False,False,True,False,False,False,False,False,True
364.02,2023-03-19,3,19,Tech,345.3128571428571,428.93,False,False,False,True,False,False,False,True,False,False,False,False,False,True
130.63,2023-03-25,3,25,Shops,302.17571428571426,364.02,False,False,True,False,False,False,False,True,False,False,False,False,False,True
272.07,2023-03-28,3,28,Travel,277.0157142857143,130.63,False,False,False,False,False,True,False,False,True,False,False,False,True,False
484.55,2023-04-02,4,2,Shops,313.0,272.07,False,False,False,True,False,False,False,False,True,False,False,False,False,True
481.8,2023-04-03,4,3,Food and Drink,352.36,484.55,False,True,False,False,False,False,False,True,False,False,False,False,True,False
210.8,2023-04-22,4,22,Food and Drink,338.9714285714286,481.8,False,False,True,False,False,False,False,True,False,False,False,False,False,True
106.48,2023-05-02,5,2,Travel,292.90714285714284,210.8,False,False,False,False,False,True,False,False,False,False,True,False,True,False
49.85,2023-05-07,5,7,Food and Drink,248.0257142857143,106.48,False,False,False,True,False,False,False,False,True,False,False,False,False,True
361.4,2023-05-21,5,21,Travel,280.99285714285713,49.85,False,False,False,True,False,False,False,False,True,False,False,False,False,True
39.61,2023-05-22,5,22,Shops,247.78428571428572,361.4,False,True,False,False,False,False,False,False,False,False,False,True,True,False
470.24,2023-06-01,6,1,Shops,245.74,39.61,False,False,False,False,True,False,False,False,False,True,False,False,True,False
475.84,2023-06-15,6,15,Travel,244.88857142857142,470.24,False,False,False,False,True,False,False,False,False,False,True,False,True,False
98.77,2023-06-16,6,16,Food and Drink,228.8842857142857,475.84,True,False,False,False,False,False,False,False,False,False,False,True,True,False
3.59,2023-06-23,6,23,Shops,214.18571428571428,98.77,True,False,False,False,False,False,False,False,True,False,False,False,True,False
450.5,2023-07-11,7,11,Travel,271.4214285714285,3.59,False,False,False,False,False,True,False,False,False,False,True,False,True,False
201.92,2023-07-18,7,18,Travel,248.63857142857142,450.5,False,False,False,False,False,True,False,False,False,True,False,False,True,False
303.89,2023-07-26,7,26,Shops,286.39285714285717,201.92,False,False,False,False,False,False,True,False,False,True,False,False,True,False
338.42,2023-08-08,8,8,Shops,267.56142857142856,303.89,False,False,False,False,False,True,False,False,False,False,True,False,True,False
359.45,2023-09-03,9,3,Food and Drink,250.93428571428572,338.42,False,False,False,True,False,False,False,False,True,False,False,False,False,True
75.01,2023-09-15,9,15,Food and Drink,247.54,359.45,True,False,False,False,False,False,False,True,False,False,False,False,True,False
6.93,2023-09-29,9,29,Shops,248.0171428571429,75.01,True,False,False,False,False,False,False,True,False,False,False,False,True,False
344.31,2023-10-16,10,16,Travel,232.84714285714284,6.93,False,True,False,False,False,False,False,True,False,False,False,False,True,False
195.69,2023-10-18,10,18,Tech,231.95714285714286,344.31,False,False,False,False,False,False,True,False,False,True,False,False,True,False
140.19,2023-10-21,10,21,Shops,208.57142857142858,195.69,False,False,True,False,False,False,False,True,False,False,False,False,False,True
180.61,2023-10-21,10,21,Health,186.02714285714288,140.19,False,False,True,False,False,False,False,False,False,True,False,False,False,True
408.1,2023-11-05,11,5,Food and Drink,192.97714285714287,180.61,False,False,False,True,False,False,False,False,False,False,False,True,False,True
293.46,2023-11-09,11,9,Travel,224.18428571428572,408.1,False,False,False,False,True,False,False,False,False,True,False,False,True,False
211.55,2023-11-11,11,11,Shops,253.41571428571427,293.46,False,False,True,False,False,False,False,False,False,True,False,False,False,True
364.84,2023-11-12,11,12,Tech,256.34857142857146,211.55,False,False,False,True,False,False,False,True,False,False,False,False,False,True
442.35,2023-11-27,11,27,Travel,291.5857142857143,364.84,False,True,False,False,False,False,False,True,False,False,False,False,True,False
168.27,2023-12-17,12,17,Travel,295.59714285714284,442.35,False,False,False,True,False,False,False,False,False,False,True,False,False,True
286.42,2023-12-24,12,24,Travel,310.7128571428571,168.27,False,False,False,True,False,False,False,False,False,False,False,True,False,True
386.72,2024-01-04,1,4,Shops,307.65857142857146,286.42,False,False,False,False,True,False,False,True,False,False,False,False,True,False
418.8,2024-01-15,1,15,Shops,325.56428571428575,386.72,False,True,False,False,False,False,False,True,False,False,False,False,True,False
64.84,2024-02-01,2,1,Travel,304.60571428571427,418.8,False,False,False,False,True,False,False,True,False,False,False,False,True,False
46.79,2024-03-02,3,2,Shops,259.17,64.84,False,False,True,False,False,False,False,False,False,False,True,False,False,True
258.0,2024-03-27,3,27,Health,232.83428571428573,46.79,False,False,False,False,False,False,True,True,False,False,False,False,True,False
370.55,2024-04-12,4,12,Food and Drink,261.7314285714286,258.0,True,False,False,False,False,False,False,False,False,False,True,False,True,False
386.37,2024-04-15,4,15,Travel,276.01000000000005,370.55,False,True,False,False,False,False,False,False,True,False,False,False,True,False
142.29,2024-04-20,4,20,Shops,241.0914285714286,386.37,False,False,True,False,False,False,False,True,False,False,False,False,False,True
464.77,2024-04-25,4,25,Food and Drink,247.65857142857143,142.29,False,False,False,False,True,False,False,False,False,False,False,True,True,False
457.23,2024-05-03,5,3,Food and Drink,303.7142857142857,464.77,True,False,False,False,False,False,False,True,False,False,False,False,True,False
27.04,2024-05-10,5,10,Travel,300.89285714285717,457.23,True,False,False,False,False,False,False,False,False,False,False,True,True,False
476.97,2023-01-02,1,2,Shops,476.97,0.0,False,True,False,False,False,False,False,False,True,False,False,False,True,False
106.99,2023-01-07,1,7,Health,291.98,476.97,False,False,True,False,False,False,False,False,False,False,False,True,False,True
131.68,2023-01-15,1,15,Shops,238.5466666666667,106.99,False,False,False,True,False,False,False,False,False,True,False,False,False,True
50.8,2023-01-29,1,29,Food and Drink,191.61,131.68,False,False,False,True,False,False,False,True,False,False,False,False,False,True
21.85,2023-02-04,2,4,Health,157.65800000000002,50.8,False,False,True,False,False,False,False,False,False,False,False,True,False,True
36.42,2023-02-19,2,19,Tech,137.45166666666668,21.85,False,False,False,True,False,False,False,True,False,False,False,False,False,True
283.38,2023-03-13,3,13,Shops,158.29857142857145,36.42,False,True,False,False,False,False,False,False,False,False,True,False,True,False
87.76,2023-04-03,4,3,Health,102.69714285714285,283.38,False,True,False,False,False,False,False,True,False,False,False,False,True,False
485.42,2023-04-04,4,4,Food and Drink,156.75857142857143,87.76,False,False,False,False,False,True,False,True,False,False,False,False,True,False
342.98,2023-04-15,4,15,Food and Drink,186.9442857142857,485.42,False,False,True,False,False,False,False,False,False,False,True,False,False,True
